Date, Time, Elapsed time (sec), Distance (mi), Speed (mph), Latitude, Longitude, Accuracy (ft), Altitude (ft),,
20/03/24, 8:10 AM GMT-4,28,0.039670094,5.198407166,44.23216999,-73.0991337,15.61112185,562.4875245,,
20/03/24, 8:10 AM GMT-4,34,0.048900592,5.172743462,44.2323016,-73.09910746,15.71333991,559.0578921,,
20/03/24, 8:10 AM GMT-4,35,0.050942741,5.179458052,44.23233118,-73.0991088,15.72655149,558.5453481,,
20/03/24, 8:10 AM GMT-4,43,0.064538504,5.38419222,44.23252736,-73.09909365,15.79668159,558.4215829,,
20/03/24, 8:10 AM GMT-4,45,0.067876104,5.063471124,44.23257549,-73.09908732,15.76724691,556.8631925,,
20/03/24, 8:10 AM GMT-4,46,0.069605258,5.481553229,44.23260041,-73.09908374,15.76187154,556.9054435,AVG Speed =,51.29345698
20/03/24, 8:10 AM GMT-4,47,0.071479334,5.541913599,44.23262728,-73.09907821,15.77611721,556.628084,,
20/03/24, 8:10 AM GMT-4,48,0.073573349,5.813212333,44.23265742,-73.0990733,15.78306013,556.3361074,,
20/03/24, 8:10 AM GMT-4,49,0.075591283,6.08589505,44.2326866,-73.09907071,15.761482,556.6471343,,
20/03/24, 8:10 AM GMT-4,50,0.07648866,5.717861434,44.23269892,-73.09906492,15.54531112,556.2163321,,
20/03/24, 8:10 AM GMT-4,51,0.078252469,5.637193032,44.23272437,-73.09906157,15.48737415,555.6743342,,
20/03/24, 8:10 AM GMT-4,52,0.080213125,5.976582713,44.23275272,-73.09905899,15.46805818,555.3188784,,
20/03/24, 8:10 AM GMT-4,53,0.082074401,6.165650396,44.23277943,-73.09905377,15.47646697,555.2600592,,
20/03/24, 8:10 AM GMT-4,54,0.083832803,6.232238427,44.23280479,-73.09905038,15.49871468,554.6183137,,
20/03/24, 8:10 AM GMT-4,55,0.085274974,5.481659895,44.23282552,-73.09904668,15.4957939,553.4498166,,
20/03/24, 8:10 AM GMT-4,56,0.08743545,6.331966342,44.23285662,-73.09904168,15.46658918,554.2969571,,
20/03/24, 8:11 AM GMT-4,57,0.089245812,6.402919122,44.2328827,-73.09903773,15.43857969,553.9891184,,
20/03/24, 8:11 AM GMT-4,58,0.090888302,6.066047279,44.23290626,-73.09903309,15.42994249,553.930509,,
20/03/24, 8:11 AM GMT-4,59,0.092818399,6.38207883,44.23293418,-73.09903072,15.42151962,553.7783783,,
20/03/24, 8:11 AM GMT-4,60,0.094807418,6.496822038,44.23296287,-73.09902691,15.42498013,553.9250069,,
20/03/24, 8:11 AM GMT-4,61,0.096686118,6.411725954,44.23298998,-73.09902337,15.4273518,553.5084196,,
20/03/24, 8:11 AM GMT-4,62,0.09825384,6.006342369,44.23301256,-73.0990199,15.41961884,553.1694351,,
20/03/24, 8:11 AM GMT-4,63,0.100053437,5.954597366,44.2330384,-73.09901509,15.42913525,552.8759299,,
20/03/24, 8:11 AM GMT-4,64,0.101833469,6.109438778,44.23306401,-73.09901073,15.44775975,553.1661543,,
20/03/24, 8:11 AM GMT-4,65,0.103691714,6.315402266,44.23309069,-73.09900571,15.45525022,552.0514094,,
20/03/24, 8:11 AM GMT-4,66,0.10554138,6.303016809,44.23311733,-73.09900159,15.44212468,553.8368833,,
20/03/24, 8:11 AM GMT-4,67,0.107511314,6.21493676,44.23314573,-73.09899756,15.41596591,554.6390885,,
20/03/24, 8:11 AM GMT-4,68,0.109062726,5.737758804,44.23316792,-73.0989925,15.42867374,554.0509483,,
20/03/24, 8:11 AM GMT-4,69,0.110502103,5.238266972,44.23318849,-73.09898773,15.43877994,554.5398496,,
20/03/24, 8:11 AM GMT-4,70,0.112236707,5.433142055,44.23321324,-73.0989816,15.44181806,555.4659051,,
20/03/24, 8:11 AM GMT-4,71,0.114112948,5.865301331,44.23323976,-73.09897322,15.44908951,557.3662016,,
20/03/24, 8:11 AM GMT-4,72,0.115776168,5.636300776,44.23326369,-73.09896931,15.46156425,558.2811357,,
20/03/24, 8:11 AM GMT-4,73,0.117591612,5.831157725,44.23328963,-73.09896317,15.48146531,559.2669056,,
20/03/24, 8:11 AM GMT-4,74,0.118931445,5.320542289,44.23330871,-73.09895819,15.48868045,557.3836707,,
20/03/24, 8:11 AM GMT-4,75,0.120842933,5.639769536,44.23333605,-73.09895202,15.48751808,559.075241,,
20/03/24, 8:11 AM GMT-4,76,0.12315771,6.312129237,44.23336941,-73.09894709,15.47598669,558.5286698,,
20/03/24, 8:11 AM GMT-4,77,0.125464326,6.834983999,44.23340265,-73.09894215,15.48478503,557.3141396,,
20/03/24, 8:11 AM GMT-4,78,0.127734217,6.953418365,44.23343541,-73.09893821,15.49722378,557.746778,,
20/03/24, 8:11 AM GMT-4,79,0.129763876,6.509285361,44.23346481,-73.0989368,15.51740488,557.1441282,,
20/03/24, 8:11 AM GMT-4,80,0.131999487,6.532163496,44.23349698,-73.09893156,15.51109242,556.8553126,,
20/03/24, 8:11 AM GMT-4,81,0.13427665,6.431187063,44.23352941,-73.09892305,15.49964239,557.0087104,,
20/03/24, 8:11 AM GMT-4,82,0.136790255,6.7137294,44.23356571,-73.09891892,15.48606003,558.2055837,,
20/03/24, 8:11 AM GMT-4,83,0.138966553,6.762481903,44.23359711,-73.09891477,15.48950334,558.488794,,
20/03/24, 8:11 AM GMT-4,84,0.140861319,6.258242393,44.23362421,-73.09890862,15.47588188,559.4185068,,
20/03/24, 8:11 AM GMT-4,85,0.143112907,6.347408297,44.23365663,-73.09890358,15.4715359,560.1975781,,
20/03/24, 8:11 AM GMT-4,86,0.145613137,7.095760721,44.2336927,-73.0988988,15.44672723,561.1639785,,
